,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
335,Rauw Alejandro,Tattoo,7na7Bk98usp84FaOJFPv3d,85,0.755,0.617,9,-5.144,1,0.182,0.0217,0.0,0.0625,0.745,193.896,202887,4
336,Five Finger Death Punch,Full Circle,76CWLFHm3OFuE2P1dDMhi3,64,0.495,0.993,7,-3.014,1,0.145,0.000151,0.0,0.368,0.29,149.912,202250,4
337,G Herbo,Feelings,3F4hYChWyAeAjZ4UqhI8jo,61,0.654,0.809,1,-4.717,1,0.393,0.0871,0.0,0.363,0.481,89.796,216108,4
338,Surfaces,Good Day,5vu5o6RUJ2YiXv3LaPDYIF,60,0.906,0.541,11,-6.947,1,0.0415,0.557,1.9e-06,0.116,0.788,124.998,173230,4
339,Five Finger Death Punch,Brighter Side of Grey,4tW57waWtNZF2CnhQEjPBq,62,0.538,0.961,9,-3.496,0,0.0536,0.00646,0.0,0.129,0.427,124.002,269578,4
340,Chelsea Cutler,Lucky,0AnZrWo2TuUX5BnFjsoy3N,73,0.774,0.253,2,-9.61,1,0.0491,0.334,1.36e-06,0.221,0.606,92.122,148973,4
341,Five Finger Death Punch,Mother May I (Tic Toc),5wXWGcJmmNGdV2EzXkbfQD,63,0.484,0.989,4,-3.74,0,0.109,0.00126,5.78e-06,0.0905,0.391,155.878,234239,4
342,Tate McRae,that way,7l97ElWmIdVHWUaOeeU5ZC,72,0.445,0.383,0,-11.015,1,0.166,0.728,0.0,0.387,0.333,102.059,175027,4
343,Five Finger Death Punch,F8,2RyS4O0bhU3MLnjlKCsjSb,62,0.243,0.91,11,-8.28,0,0.0614,0.0269,0.951,0.574,0.404,166.048,75316,4
344,G Herbo,Gangstas Cry,1oJAJjMlN8aNAfauwitziO,61,0.74,0.725,1,-3.759,1,0.302,0.186,0.0,0.293,0.516,160.051,217784,4
345,Keith Urban,God Whispered Your Name,7Ce11Oh1kConF6UlkBWnaZ,68,0.594,0.6,2,-6.712,1,0.0498,0.306,0.0,0.149,0.5,145.967,232165,4
346,Five Finger Death Punch,This Is War,5IiBFYMJEvFznr2IZvOgwg,62,0.59,0.993,6,-3.52,1,0.172,0.00048,0.0,0.358,0.25,106.05,191633,4
347,Surfaces,Sunny Side Up,6amgTQrn3KDLFxTG2AhWUA,58,0.849,0.493,2,-8.044,1,0.0532,0.428,0.0,0.0808,0.511,124.948,171133,4
